T(days),Gp,q(Mscf/d),Di,qi E,log q,m,Di,logq E
30,,413.3,0.001739647,392.2833115,2.616265405,-0.0001,0.0002303,2.613265405
60,,392.8,,353.8672199,2.594171479,0.0002303,,2.610265405
90,,375.9,,321.4220067,2.575072326,,,2.607265405
120,,371.3,,301.3440767,2.569724949,,,2.604265405
150,,377.5,,290.7964453,2.576916956,,,2.601265405
180,,367.8,,268.9170199,2.565611725,,,2.598265405
210,,349,,242.1956951,2.542825427,,,2.595265405
240,,361.7,,238.2450734,2.558348509,,,2.592265405
270,,349.1,,218.2527358,2.542949849,,,2.589265405
300,,341.9,,202.8819338,2.533899101,,,2.586265405
330,,350.1,,197.18361,2.544192111,,,2.583265405
360,,333.6,,178.3360618,2.523226042,,,2.580265405
390,,291.4,,147.8553708,2.464489547,,,2.577265405
420,,338.2,,162.8754349,2.529173603,,,2.574265405
450,,329.1,,150.4334081,2.517327882,,,2.571265405
480,,322.5,,139.9202456,2.508529719,,,2.568265405
510,,327.1,,134.6994466,2.514680544,,,2.565265405
540,,310.9,,121.5179451,2.492620722,,,2.562265405
570,,326.6,,121.1630795,2.51401618,,,2.559265405
600,,305.6,,107.607341,2.48515335,,,2.556265405
630,,300.4,,100.3975017,2.477699928,,,2.553265405
660,,298.7,,94.75292547,2.475235223,,,2.550265405
720,,291.6,,83.33237885,2.46478752,,,2.544265405
780,,290,,74.66088143,2.462397998,,,2.538265405
840,,278,,64.47758547,2.444044796,,,2.532265405
900,,279,,58.29576801,2.445604203,,,2.526265405
960,,276.9,,52.12242771,2.442322956,,,2.520265405
1020,,254.8,,43.20857648,2.406199424,,,2.514265405
1070,,249.4,,38.76957408,2.396896449,,,2.509265405
1200,,236.1,,29.2733946,2.373095987,,,2.496265405
1320,,237.4,,23.88886546,2.375480715,,,2.484265405
1410,,230.1,,19.79861047,2.361916619,,,2.475265405
1500,,224.2,,16.49517712,2.350635608,,,2.466265405
1620,,219.4,,13.10073639,2.341236623,,,2.454265405
1710,,199.9,,10.20646055,2.300812794,,,2.445265405
1800,,202.1,,8.82331864,2.305566314,,,2.436265405
1930,,136.4,,4.749660188,2.13481437,,,2.423265405
2070,,119.8,,3.269883768,2.078456818,,,2.409265405
2190,,150.5,,3.333878031,2.1775365,,,2.397265405
2200,,135.8,,2.956363192,2.13289977,,,2.396265405
2310,,176.4,,3.171388873,2.246498581,,,2.385265405
2400,,170.3,,2.617995211,2.231214648,,,2.376265405
2500,,143.7,,1.856346569,2.157456768,,,2.366265405
2700,,156.1,,1.423971764,2.193402903,,,2.346265405
2830,,154.6,,1.124839305,2.18920949,,,2.333265405
2910,,139.6,,0.883740759,2.144885418,,,2.325265405
3000,,138.1,,0.747543429,2.140193679,,,2.316265405
3400,,123.4,,0.333081319,2.09131516,,,2.276265405
3600,,120.5,,0.229677444,2.080987047,,,2.256265405
4000,,105.1,,0.099891005,2.021602716,,,2.216265405
4200,,98.5,,0.066108314,1.99343623,,,2.196265405
4800,,91.1,,0.021529145,1.959518377,,,2.136265405
