T(days),q(Mscf/d)
30,413.3
60,392.8
90,375.9
120,371.3
150,377.5
180,367.8
210,349
240,361.7
270,349.1
300,341.9
330,350.1
360,333.6
390,291.4
420,338.2
450,329.1
480,322.5
510,327.1
540,310.9
570,326.6
600,305.6
630,300.4
660,298.7
720,291.6
780,290
840,278
900,279
960,276.9
1020,254.8
1070,249.4
1200,236.1
1320,237.4
1410,230.1
1500,224.2
1620,219.4
1710,199.9
1800,202.1
1930,136.4
2070,119.8
2190,150.5
2200,135.8
2310,176.4
2400,170.3
2500,143.7
2700,156.1
2830,154.6
2910,139.6
3000,138.1
3400,123.4
3600,120.5
4000,105.1
4200,98.5
4800,91.1
